BARRIO;METROS;HABITACIONES;PRECIO_TOTAL;PRECIO_M2;PRECIO_M2_BARRIO;DIFERENCIA;OPORTUNIDAD
Moratalaz;100;5;319.526 €;3195;3221;-25.74;NORMAL
Villa de Vallecas;63;2;455.891 €;7236;6428;808.37;NORMAL
Latina;129;1;470.360 €;3646;3838;-191.8;NORMAL
Latina;125;4;496.214 €;3970;4524;-554.29;OPORTUNIDAD
Retiro;106;4;376.581 €;3553;3115;437.65;NORMAL
Salamanca;94;1;466.269 €;4960;5086;-125.68;NORMAL
Moncloa;128;5;531.998 €;4156;4876;-719.76;OPORTUNIDAD
Retiro;124;1;585.731 €;4724;5603;-879.36;OPORTUNIDAD
Ciudad Lineal;118;4;310.693 €;2633;2526;107.0;NORMAL
San Blas;104;1;630.549 €;6063;5920;142.98;NORMAL
Salamanca;94;2;487.478 €;5186;5695;-509.06;NORMAL
Vicalvaro;42;4;160.042 €;3811;3197;613.53;NORMAL
Latina;81;1;308.988 €;3815;4423;-608.33;OPORTUNIDAD
Hortaleza;139;5;672.106 €;4835;4178;657.3;NORMAL
Carabanchel;78;4;325.966 €;4179;4713;-533.95;OPORTUNIDAD
Latina;119;2;524.321 €;4406;3752;654.06;NORMAL
Chamartin;107;5;582.226 €;5441;5141;300.37;NORMAL
Usera;47;3;250.314 €;5326;5136;189.83;NORMAL
Hortaleza;62;1;288.681 €;4656;5423;-766.84;OPORTUNIDAD
Moncloa;115;5;618.193 €;5376;4890;485.6;NORMAL
Latina;139;1;854.427 €;6147;6448;-301.04;NORMAL
San Blas;140;4;428.453 €;3060;3762;-701.61;OPORTUNIDAD
Ciudad Lineal;46;2;279.522 €;6077;6784;-707.43;OPORTUNIDAD
Barajas;92;5;262.339 €;2852;2987;-135.48;NORMAL
Chamberi;76;3;521.159 €;6857;5786;1071.36;NORMAL
Carabanchel;84;2;601.820 €;7165;6756;408.53;NORMAL
Carabanchel;98;1;391.371 €;3994;3845;148.59;NORMAL
Carabanchel;114;5;390.522 €;3426;4254;-828.36;OPORTUNIDAD
Centro;60;5;371.512 €;6192;6859;-667.12;NORMAL
Ciudad Lineal;75;3;335.396 €;4472;3813;658.96;NORMAL
Villaverde;63;5;192.652 €;3058;3011;46.98;NORMAL
Tetuan;44;1;254.093 €;5775;5069;705.86;NORMAL
Villaverde;112;4;496.572 €;4434;5065;-631.31;OPORTUNIDAD
Moncloa;81;3;347.793 €;4294;5088;-794.25;OPORTUNIDAD
Vicalvaro;150;4;658.878 €;4393;3823;569.52;NORMAL
Villa de Vallecas;133;1;586.248 €;4408;3751;656.88;NORMAL
Retiro;90;5;455.441 €;5060;5673;-612.54;OPORTUNIDAD
Hortaleza;62;2;283.434 €;4572;4325;246.52;NORMAL
Salamanca;82;5;263.801 €;3217;2933;284.09;NORMAL
Carabanchel;129;2;415.678 €;3222;3059;163.32;NORMAL
Chamartin;118;2;648.698 €;5497;5264;233.44;NORMAL
Chamartin;104;5;746.738 €;7180;6616;564.18;NORMAL
Chamartin;126;3;652.273 €;5177;4772;404.78;NORMAL
Villa de Vallecas;61;4;328.003 €;5377;6068;-690.89;OPORTUNIDAD
Carabanchel;67;4;236.067 €;3523;3028;495.39;NORMAL
Puente de Vallecas;99;4;236.408 €;2388;2551;-163.04;NORMAL
Vicalvaro;94;2;614.762 €;6540;6091;449.02;NORMAL
Hortaleza;46;4;294.105 €;6394;6635;-241.4;NORMAL
Chamberi;98;3;579.590 €;5914;6680;-765.81;OPORTUNIDAD
Salamanca;100;3;445.655 €;4457;5485;-1028.44;OPORTUNIDAD
Retiro;133;4;606.816 €;4563;5515;-952.47;OPORTUNIDAD
Ciudad Lineal;44;3;178.450 €;4056;3420;635.68;NORMAL
Vicalvaro;89;1;257.637 €;2895;3373;-478.2;OPORTUNIDAD
Chamberi;97;2;595.726 €;6142;5591;550.51;NORMAL
Moratalaz;146;5;823.817 €;5643;5011;631.59;NORMAL
Villa de Vallecas;145;5;513.333 €;3540;4320;-779.77;OPORTUNIDAD
Chamartin;91;1;533.150 €;5859;6859;-1000.2;OPORTUNIDAD
Arganzuela;99;2;285.967 €;2889;3555;-666.44;OPORTUNIDAD
Tetuan;145;1;410.002 €;2828;3336;-508.4;OPORTUNIDAD
Ciudad Lineal;85;4;467.630 €;5502;4672;829.54;NORMAL
Barajas;58;4;272.075 €;4691;4374;316.95;NORMAL
Carabanchel;45;1;245.700 €;5460;5188;272.02;NORMAL
Ciudad Lineal;96;5;401.535 €;4183;4800;-617.33;OPORTUNIDAD
Villa de Vallecas;111;1;557.608 €;5024;4932;91.5;NORMAL
Vicalvaro;140;4;561.225 €;4009;3460;548.75;NORMAL
Hortaleza;59;3;220.303 €;3734;3863;-129.05;NORMAL
Barajas;141;3;370.573 €;2628;3127;-498.82;OPORTUNIDAD
Arganzuela;135;1;786.252 €;5824;5531;293.1;NORMAL
Chamartin;139;2;768.121 €;5526;5789;-262.94;NORMAL
Moncloa;128;4;657.314 €;5135;4499;636.27;NORMAL
Centro;96;1;553.960 €;5770;5507;263.42;NORMAL
Vicalvaro;128;4;914.506 €;7145;6686;458.58;NORMAL
Villaverde;67;3;302.040 €;4508;5065;-556.94;OPORTUNIDAD
Ciudad Lineal;59;2;198.500 €;3364;3254;110.41;NORMAL
Villa de Vallecas;81;1;229.671 €;2835;2756;79.45;NORMAL
Centro;46;4;158.773 €;3452;2882;569.6;NORMAL
Barajas;145;2;723.835 €;4992;4544;447.97;NORMAL
Villa de Vallecas;90;3;264.110 €;2935;3125;-190.44;NORMAL
Tetuan;106;3;348.937 €;3292;3030;261.86;NORMAL
Latina;117;2;847.437 €;7243;6650;593.06;NORMAL
Villaverde;132;5;730.903 €;5537;6645;-1107.85;OPORTUNIDAD
Centro;40;3;125.103 €;3128;3804;-676.41;OPORTUNIDAD
Chamartin;122;3;800.135 €;6558;6791;-232.51;NORMAL
Usera;46;3;180.796 €;3930;4040;-109.64;NORMAL
Barajas;126;4;629.385 €;4995;4812;183.12;NORMAL
Moratalaz;42;3;207.146 €;4932;6047;-1114.95;OPORTUNIDAD
San Blas;57;2;313.687 €;5503;6756;-1252.72;OPORTUNIDAD
Latina;146;2;628.316 €;4304;4062;241.54;NORMAL
Retiro;136;2;774.913 €;5698;5301;396.89;NORMAL
Retiro;108;1;810.702 €;7507;6523;983.51;NORMAL
Latina;50;3;258.979 €;5180;4897;282.58;NORMAL
Barajas;101;4;646.687 €;6403;6770;-367.15;NORMAL
Chamartin;98;4;427.414 €;4361;3856;505.38;NORMAL
Ciudad Lineal;118;2;577.258 €;4892;4615;277.02;NORMAL
Moratalaz;103;3;245.942 €;2388;2627;-239.21;NORMAL
Latina;143;5;507.401 €;3548;3511;37.26;NORMAL
Villa de Vallecas;43;2;125.829 €;2926;3507;-580.73;OPORTUNIDAD
Usera;141;1;581.160 €;4122;4061;60.71;NORMAL
Usera;111;5;490.622 €;4420;4104;316.02;NORMAL
San Blas;112;1;692.263 €;6181;5291;889.93;NORMAL
Latina;109;2;673.419 €;6178;5177;1001.16;NORMAL
Villa de Vallecas;92;3;467.012 €;5076;4708;368.22;NORMAL
Chamartin;119;5;652.330 €;5482;6243;-761.23;OPORTUNIDAD
Usera;141;5;601.998 €;4269;4475;-205.5;NORMAL
Carabanchel;125;3;786.975 €;6296;6147;148.8;NORMAL
Salamanca;118;2;510.542 €;4327;3764;562.63;NORMAL
Moncloa;40;1;273.768 €;6844;6570;274.22;NORMAL
Retiro;123;2;671.758 €;5461;5429;32.45;NORMAL
Villaverde;126;3;326.903 €;2594;2569;25.47;NORMAL
Carabanchel;126;1;579.628 €;4600;5655;-1054.77;OPORTUNIDAD
San Blas;134;1;637.415 €;4757;5231;-474.17;NORMAL
Carabanchel;43;4;296.310 €;6891;5976;914.94;NORMAL
Ciudad Lineal;126;2;574.725 €;4561;4789;-227.69;NORMAL
Moncloa;81;2;457.573 €;5649;4988;661.05;NORMAL
Tetuan;59;5;166.743 €;2826;2775;51.16;NORMAL
Usera;110;1;481.004 €;4373;5436;-1063.23;OPORTUNIDAD
Carabanchel;82;5;415.373 €;5066;4472;593.53;NORMAL
Puente de Vallecas;145;3;740.902 €;5110;6009;-899.33;OPORTUNIDAD
Retiro;79;1;416.621 €;5274;4803;470.69;NORMAL
Arganzuela;67;2;272.327 €;4065;4042;22.59;NORMAL
Chamartin;78;5;270.747 €;3471;3090;381.13;NORMAL
Chamberi;135;3;712.545 €;5278;5581;-302.88;NORMAL
Carabanchel;61;5;309.228 €;5069;4724;345.32;NORMAL
Hortaleza;136;3;327.560 €;2409;2766;-357.47;OPORTUNIDAD
Hortaleza;50;3;231.932 €;4639;5579;-940.34;OPORTUNIDAD
Tetuan;125;2;441.193 €;3530;3344;185.55;NORMAL
San Blas;99;2;618.033 €;6243;6274;-31.24;NORMAL
Ciudad Lineal;96;5;508.222 €;5294;6405;-1111.02;OPORTUNIDAD
Chamartin;146;3;397.294 €;2721;2779;-57.8;NORMAL
Chamberi;132;5;435.999 €;3303;3443;-139.97;NORMAL
Puente de Vallecas;117;1;473.151 €;4044;3828;216.03;NORMAL
Puente de Vallecas;41;5;205.475 €;5012;5344;-332.4;NORMAL
Carabanchel;40;5;205.332 €;5133;6378;-1244.69;OPORTUNIDAD
Moratalaz;116;4;711.731 €;6136;5420;715.62;NORMAL
Salamanca;48;1;204.390 €;4258;5090;-831.87;OPORTUNIDAD
Ciudad Lineal;54;4;207.679 €;3846;3845;0.92;NORMAL
Carabanchel;122;4;558.671 €;4579;4442;137.28;NORMAL
Villa de Vallecas;103;5;543.051 €;5272;6023;-750.65;OPORTUNIDAD
Ciudad Lineal;51;4;234.573 €;4599;5525;-925.52;OPORTUNIDAD
Carabanchel;56;1;326.828 €;5836;6358;-521.77;NORMAL
Tetuan;115;5;300.658 €;2614;2509;105.43;NORMAL
Usera;53;2;185.356 €;3497;3511;-13.71;NORMAL
Tetuan;113;1;546.109 €;4833;4924;-91.17;NORMAL
Tetuan;84;3;291.693 €;3473;4015;-542.46;OPORTUNIDAD
Usera;135;5;786.375 €;5825;4887;938.0;NORMAL
Puente de Vallecas;40;4;313.812 €;7845;6664;1181.32;NORMAL
Usera;124;5;604.590 €;4876;4561;314.73;NORMAL
Chamartin;88;3;314.806 €;3577;3617;-39.65;NORMAL
Puente de Vallecas;56;5;148.998 €;2661;3061;-400.3;OPORTUNIDAD
Moncloa;114;4;627.580 €;5505;6476;-970.9;OPORTUNIDAD
Puente de Vallecas;99;2;496.472 €;5015;4214;800.87;NORMAL
Vicalvaro;142;4;830.845 €;5851;5537;314.02;NORMAL
Barajas;147;2;722.615 €;4916;4786;129.75;NORMAL
Chamberi;74;4;364.136 €;4921;4564;356.77;NORMAL
Barajas;48;1;376.135 €;7836;6872;964.15;NORMAL
Latina;89;4;324.786 €;3649;3769;-119.71;NORMAL
Vicalvaro;47;4;150.853 €;3210;3869;-659.36;OPORTUNIDAD
Retiro;139;1;493.873 €;3553;3904;-350.96;NORMAL
Usera;126;4;586.725 €;4657;5170;-513.45;NORMAL
Latina;47;1;231.064 €;4916;4777;139.26;NORMAL
Moratalaz;136;5;784.776 €;5770;6870;-1099.58;OPORTUNIDAD
Puente de Vallecas;49;3;307.099 €;6267;6059;208.33;NORMAL
Retiro;148;4;792.634 €;5356;5365;-9.36;NORMAL
Arganzuela;69;2;275.141 €;3988;3390;597.55;NORMAL
Vicalvaro;72;2;393.816 €;5470;5103;366.67;NORMAL
Moratalaz;40;3;188.789 €;4720;4035;684.73;NORMAL
Hortaleza;143;4;718.127 €;5022;4555;466.87;NORMAL
Moncloa;93;1;307.710 €;3309;3048;260.71;NORMAL
Tetuan;141;4;995.077 €;7057;6580;477.29;NORMAL
Villa de Vallecas;134;1;682.994 €;5097;5330;-233.02;NORMAL
Centro;83;2;449.773 €;5419;5136;282.96;NORMAL
Arganzuela;89;2;396.387 €;4454;4755;-301.21;NORMAL
Barajas;46;5;174.339 €;3790;3538;251.99;NORMAL
Chamberi;96;4;589.309 €;6139;5358;780.64;NORMAL
Villaverde;51;5;185.157 €;3631;4195;-564.47;OPORTUNIDAD
Puente de Vallecas;85;4;449.553 €;5289;6193;-904.13;OPORTUNIDAD
Moncloa;123;1;560.998 €;4561;5613;-1052.03;OPORTUNIDAD
Chamberi;90;5;429.067 €;4767;4557;210.42;NORMAL
Retiro;129;5;659.907 €;5116;5909;-793.44;OPORTUNIDAD
Chamartin;123;2;340.274 €;2766;2838;-71.54;NORMAL
Chamartin;54;1;391.509 €;7250;6721;529.18;NORMAL
Salamanca;125;3;367.027 €;2936;3504;-567.78;OPORTUNIDAD
Villa de Vallecas;58;3;245.040 €;4225;4851;-626.17;OPORTUNIDAD
Hortaleza;71;5;375.439 €;5288;5854;-566.12;NORMAL
Tetuan;128;2;433.354 €;3386;2828;557.58;NORMAL
Usera;126;4;967.600 €;7679;6449;1230.37;NORMAL
Retiro;129;5;593.807 €;4603;4225;378.16;NORMAL
Latina;60;2;311.423 €;5190;6263;-1072.61;OPORTUNIDAD
Retiro;48;4;261.466 €;5447;5823;-375.77;NORMAL
Chamartin;110;2;664.708 €;6043;6494;-451.2;NORMAL
Arganzuela;43;3;179.941 €;4185;4979;-794.31;OPORTUNIDAD
Arganzuela;76;5;550.797 €;7247;6832;415.33;NORMAL
Vicalvaro;130;3;435.057 €;3347;3002;344.6;NORMAL
Arganzuela;44;4;286.368 €;6508;5504;1004.37;NORMAL
Tetuan;92;2;283.089 €;3077;3221;-143.94;NORMAL
Arganzuela;148;4;921.236 €;6225;6641;-416.43;NORMAL
Usera;62;1;208.548 €;3364;3823;-459.31;OPORTUNIDAD
San Blas;111;3;430.826 €;3881;4463;-581.68;OPORTUNIDAD
Carabanchel;139;3;405.442 €;2917;2785;131.85;NORMAL
Chamberi;107;2;433.859 €;4055;4673;-618.24;OPORTUNIDAD
Arganzuela;72;2;343.207 €;4767;5105;-338.23;NORMAL
Chamartin;109;3;691.164 €;6341;6026;314.96;NORMAL
Villaverde;141;4;913.163 €;6476;5980;496.34;NORMAL
Hortaleza;55;5;208.517 €;3791;3318;473.22;NORMAL
Hortaleza;112;4;299.457 €;2674;2546;127.73;NORMAL
Chamberi;64;5;239.030 €;3735;3459;275.84;NORMAL
Salamanca;65;5;310.899 €;4783;5670;-886.93;OPORTUNIDAD
Vicalvaro;116;4;584.921 €;5042;4601;441.42;NORMAL
Salamanca;41;2;129.233 €;3152;3122;30.03;NORMAL
Moratalaz;114;3;376.249 €;3300;2846;454.44;NORMAL
Latina;108;3;453.593 €;4200;4138;61.94;NORMAL
Puente de Vallecas;121;2;452.960 €;3743;4292;-548.53;OPORTUNIDAD
Retiro;127;4;813.776 €;6408;6791;-383.31;NORMAL
Vicalvaro;110;2;693.317 €;6303;6519;-216.11;NORMAL
Carabanchel;61;4;185.587 €;3042;2791;251.41;NORMAL
Moncloa;63;1;315.979 €;5016;4469;546.55;NORMAL
Salamanca;91;4;259.680 €;2854;2609;244.64;NORMAL
Chamartin;42;2;134.320 €;3198;3966;-767.88;OPORTUNIDAD
Chamberi;94;4;600.524 €;6389;5500;888.56;NORMAL
Chamberi;128;3;517.660 €;4044;3765;279.22;NORMAL
Puente de Vallecas;120;3;499.618 €;4163;3655;508.49;NORMAL
Arganzuela;105;3;488.553 €;4653;5806;-1153.11;OPORTUNIDAD
Villa de Vallecas;129;2;979.333 €;7592;6489;1102.74;NORMAL
Usera;122;5;496.883 €;4073;3720;352.81;NORMAL
Retiro;109;2;430.429 €;3949;3901;47.9;NORMAL
Salamanca;62;5;366.563 €;5912;5379;533.32;NORMAL
Salamanca;66;5;448.191 €;6791;5691;1099.79;NORMAL
Moratalaz;103;1;364.839 €;3542;3691;-148.86;NORMAL
San Blas;71;4;472.241 €;6651;6909;-257.72;NORMAL
Ciudad Lineal;120;1;676.118 €;5634;5982;-347.68;NORMAL
Retiro;72;3;453.900 €;6304;6578;-273.82;NORMAL
San Blas;140;3;499.433 €;3567;3831;-263.61;NORMAL
San Blas;97;1;409.909 €;4226;4963;-737.13;OPORTUNIDAD
Villa de Vallecas;132;4;425.280 €;3222;3052;169.82;NORMAL
Arganzuela;97;4;577.240 €;5951;6833;-882.07;OPORTUNIDAD
Puente de Vallecas;113;3;704.556 €;6235;6295;-59.99;NORMAL
Latina;104;3;370.079 €;3558;3909;-350.55;NORMAL
Retiro;106;3;504.789 €;4762;5692;-929.83;OPORTUNIDAD
Salamanca;74;5;369.749 €;4997;6161;-1164.38;OPORTUNIDAD
Villa de Vallecas;57;2;393.460 €;6903;6646;256.82;NORMAL
Tetuan;41;2;115.873 €;2826;3269;-442.81;OPORTUNIDAD
Chamartin;80;5;358.519 €;4481;4062;419.5;NORMAL
Carabanchel;42;3;188.135 €;4479;4091;388.42;NORMAL
Vicalvaro;78;5;385.317 €;4940;5842;-902.03;OPORTUNIDAD
Vicalvaro;94;5;580.445 €;6175;5822;352.95;NORMAL
Usera;51;2;315.252 €;6181;6245;-63.58;NORMAL
Puente de Vallecas;114;4;875.829 €;7683;6971;711.71;NORMAL
Arganzuela;149;3;703.991 €;4725;4228;496.78;NORMAL
Villaverde;60;1;342.828 €;5714;6746;-1032.2;OPORTUNIDAD
Centro;109;4;460.132 €;4221;5212;-990.6;OPORTUNIDAD
Latina;94;2;597.764 €;6359;5389;970.2;NORMAL
Villa de Vallecas;136;2;364.667 €;2681;2675;6.38;NORMAL
Moncloa;141;1;993.602 €;7047;6591;455.83;NORMAL
Latina;45;5;263.340 €;5852;5828;24.01;NORMAL
Moncloa;95;5;680.139 €;7159;6497;662.36;NORMAL
Villa de Vallecas;131;5;430.927 €;3290;3851;-561.48;OPORTUNIDAD
Retiro;91;2;438.595 €;4820;4306;513.73;NORMAL
Vicalvaro;88;3;303.095 €;3444;3085;359.26;NORMAL
Retiro;120;4;307.247 €;2560;3055;-494.61;OPORTUNIDAD
Carabanchel;130;5;487.683 €;3751;3669;82.41;NORMAL
Latina;40;1;117.257 €;2931;3545;-613.55;OPORTUNIDAD
Hortaleza;149;4;551.754 €;3703;3846;-142.95;NORMAL
Centro;69;1;256.975 €;3724;3691;33.28;NORMAL
Retiro;91;4;338.550 €;3720;4102;-381.66;NORMAL
Moncloa;48;5;302.707 €;6306;5652;654.4;NORMAL
Chamartin;78;4;480.713 €;6163;5246;916.99;NORMAL
San Blas;123;3;739.626 €;6013;5386;627.23;NORMAL
Hortaleza;75;1;362.510 €;4833;4181;652.48;NORMAL
Villaverde;144;5;777.685 €;5401;4506;894.59;NORMAL
Carabanchel;123;2;571.465 €;4646;4125;521.06;NORMAL
Centro;97;2;702.501 €;7242;6132;1110.28;NORMAL
Ciudad Lineal;149;3;423.053 €;2839;3415;-575.71;OPORTUNIDAD
Puente de Vallecas;128;4;615.010 €;4805;4112;692.77;NORMAL
San Blas;138;2;389.921 €;2826;3380;-554.48;OPORTUNIDAD
Retiro;62;4;399.443 €;6443;6562;-119.37;NORMAL
Vicalvaro;86;2;246.836 €;2870;2894;-23.8;NORMAL
Moratalaz;145;5;410.713 €;2833;2629;203.5;NORMAL
Chamberi;65;2;403.169 €;6203;5761;441.6;NORMAL
Chamartin;121;3;560.958 €;4636;5194;-557.98;OPORTUNIDAD
Ciudad Lineal;61;2;318.252 €;5217;5081;136.26;NORMAL
Usera;127;2;803.214 €;6325;6734;-409.48;NORMAL
Puente de Vallecas;75;2;210.247 €;2803;2891;-87.7;NORMAL
Arganzuela;134;1;966.137 €;7210;6516;693.98;NORMAL
Chamartin;99;3;303.498 €;3066;3008;57.64;NORMAL
Villa de Vallecas;54;4;217.311 €;4024;4669;-644.71;OPORTUNIDAD
Villa de Vallecas;109;3;413.418 €;3793;3979;-186.17;NORMAL
Centro;47;1;257.187 €;5472;5649;-176.93;NORMAL
Carabanchel;85;2;478.097 €;5625;5391;233.67;NORMAL
Carabanchel;132;2;862.888 €;6537;6117;420.04;NORMAL
Villaverde;67;5;498.620 €;7442;6845;597.1;NORMAL
Moratalaz;116;2;239.707 €;2066;2573;-506.55;OPORTUNIDAD
Carabanchel;133;3;746.077 €;5610;6369;-759.4;OPORTUNIDAD
Villa de Vallecas;40;4;90.278 €;2257;2542;-285.03;OPORTUNIDAD
Barajas;84;4;363.066 €;4322;4758;-435.78;NORMAL
Villaverde;91;1;498.829 €;5482;4891;590.64;NORMAL
Retiro;59;1;318.677 €;5401;6708;-1306.69;OPORTUNIDAD
Vicalvaro;114;1;337.775 €;2963;3494;-531.06;OPORTUNIDAD
Moratalaz;40;1;196.913 €;4923;4767;155.85;NORMAL
Centro;116;5;722.263 €;6226;6162;64.41;NORMAL
Villa de Vallecas;83;4;483.120 €;5821;5388;432.73;NORMAL
Usera;150;2;741.709 €;4945;4826;118.73;NORMAL
Moratalaz;102;4;343.072 €;3363;3943;-579.54;OPORTUNIDAD
Barajas;41;4;181.577 €;4429;4063;365.73;NORMAL
Tetuan;66;5;438.736 €;6648;5806;841.52;NORMAL
Moratalaz;77;3;227.322 €;2952;2579;373.24;NORMAL
Moratalaz;136;4;821.975 €;6044;6597;-553.06;NORMAL
Ciudad Lineal;73;1;169.391 €;2320;2648;-327.57;OPORTUNIDAD
Barajas;93;3;252.142 €;2711;2809;-97.79;NORMAL
Chamberi;142;2;832.911 €;5866;5438;427.57;NORMAL
Barajas;147;4;448.106 €;3048;2796;252.34;NORMAL
Ciudad Lineal;96;4;276.592 €;2881;2683;198.17;NORMAL
Retiro;109;3;681.162 €;6249;5718;531.2;NORMAL
Hortaleza;108;4;472.758 €;4377;3717;660.4;NORMAL
Moratalaz;132;2;716.710 €;5430;4986;443.63;NORMAL
Villaverde;60;4;129.885 €;2165;2535;-370.25;OPORTUNIDAD
San Blas;46;1;132.692 €;2885;3264;-379.39;OPORTUNIDAD
Moncloa;84;5;595.908 €;7094;6609;485.15;NORMAL
Chamberi;111;4;849.688 €;7655;6813;841.85;NORMAL
Arganzuela;88;4;606.879 €;6896;6720;176.36;NORMAL
Carabanchel;132;4;801.729 €;6074;6181;-107.29;NORMAL
Hortaleza;81;5;285.278 €;3522;3800;-278.05;NORMAL
Barajas;97;4;724.488 €;7469;6866;602.95;NORMAL
Latina;70;5;395.762 €;5654;5571;82.75;NORMAL
Vicalvaro;123;1;501.375 €;4076;4317;-240.77;NORMAL
Moncloa;48;3;135.996 €;2833;2605;228.26;NORMAL
Villa de Vallecas;44;2;124.999 €;2841;2574;266.9;NORMAL
Chamartin;136;5;478.601 €;3519;4320;-800.87;OPORTUNIDAD
Vicalvaro;134;4;630.001 €;4702;4278;423.51;NORMAL
Barajas;79;5;510.310 €;6460;6107;352.63;NORMAL
Centro;78;5;255.418 €;3275;3319;-44.4;NORMAL
San Blas;101;1;378.069 €;3743;3739;4.27;NORMAL
Usera;90;3;403.105 €;4479;5059;-580.05;OPORTUNIDAD
San Blas;103;5;460.730 €;4473;5181;-707.89;OPORTUNIDAD
Centro;42;5;213.863 €;5092;6158;-1066.01;OPORTUNIDAD
Puente de Vallecas;119;5;344.786 €;2897;3328;-430.63;OPORTUNIDAD
Arganzuela;69;1;219.877 €;3187;3920;-733.37;OPORTUNIDAD
Puente de Vallecas;45;4;272.327 €;6052;5328;723.73;NORMAL
Centro;116;2;372.833 €;3214;3485;-270.92;NORMAL
Villa de Vallecas;145;5;538.736 €;3715;3430;285.42;NORMAL
Usera;145;2;880.455 €;6072;5874;198.11;NORMAL
Usera;64;3;368.758 €;5762;5677;84.85;NORMAL
Retiro;51;5;261.910 €;5135;4403;732.49;NORMAL
Carabanchel;139;5;944.553 €;6795;6999;-203.65;NORMAL
Retiro;44;1;153.109 €;3480;3035;444.76;NORMAL
Chamberi;133;5;348.597 €;2621;2726;-104.97;NORMAL
Centro;67;4;433.156 €;6465;6718;-252.98;NORMAL
Villaverde;102;2;580.495 €;5691;6958;-1266.87;OPORTUNIDAD
Moratalaz;85;1;356.425 €;4193;4448;-254.76;NORMAL
Moratalaz;90;4;675.108 €;7501;6844;657.21;NORMAL
Carabanchel;57;3;251.095 €;4405;4717;-311.81;NORMAL
Puente de Vallecas;44;2;224.266 €;5097;6059;-962.05;OPORTUNIDAD
Moratalaz;105;1;291.738 €;2778;2860;-81.54;NORMAL
Moratalaz;87;5;666.070 €;7656;6975;680.98;NORMAL
Moratalaz;82;1;445.806 €;5437;5304;132.67;NORMAL
Carabanchel;104;2;260.182 €;2502;3051;-549.25;OPORTUNIDAD
Villaverde;117;4;476.630 €;4074;3496;577.77;NORMAL
Salamanca;145;2;331.408 €;2286;2708;-422.42;OPORTUNIDAD
Tetuan;131;4;593.279 €;4529;5039;-510.15;OPORTUNIDAD
Barajas;92;4;205.031 €;2229;2760;-531.39;OPORTUNIDAD
Hortaleza;64;4;329.748 €;5152;5376;-223.67;NORMAL
Chamartin;72;1;296.984 €;4125;4729;-604.22;OPORTUNIDAD
Ciudad Lineal;64;4;405.468 €;6335;6964;-628.55;NORMAL
Chamberi;149;2;1.055.078 €;7081;6560;521.07;NORMAL
Carabanchel;113;5;590.591 €;5226;6386;-1159.53;OPORTUNIDAD
Centro;87;5;268.752 €;3089;3700;-610.89;OPORTUNIDAD
Vicalvaro;73;3;327.077 €;4481;4095;385.52;NORMAL
